Artikel,Deutsch Wort
der,Einblick
die,Meinung
das,Beispiel
der,Abschluss
die,Empfehlung
das,Ergebnis
der,Verein
die,Veranstaltung
das,Thema
der,Kontakt
die,Möglichkeit
das,Problem
der,Ausdruck
die,Veränderung
das,Gleichgewicht
der,Fehler
die,Herausforderung
das,Verfahren
der,Hinweis
die,Anleitung
das,Verhältnis
der,Zweck
die,Absicht
das,Erlebnis
der,Anspruch
die,Kritik
das,Projekt
der,Vorschlag
die,Angelegenheit
das,Merkmal
der,Beitrag
die,Prüfung
das,Kriterium
der,Betrag
die,Berechnung
das,Instrument
der,Zugang
die,Entwicklung
das,Engagement
der,Plan
die,Reaktion
das,Gefühl
der,Schutz
die,Abweichung
das,Gespräch
der,Gebrauch
die,Entscheidung
das,Schicksal
der,Wunsch
die,Idee
das,Werkzeug
der,Einfluss
die,Verbindung
das,Zeichen
der,Ausgang
die,Absprache
das,Bedürfnis
der,Hinweis
die,Vorbereitung
das,Resultat
der,Faktor
die,Leistung
das,Wissen
der,Begriff
die,Abgrenzung
das,Dach
der,Eindruck
die,Fähigkeit
das,Leben
der,Aufwand
die,Tätigkeit
das,Thema
der,Zustand
die,Wirkung
das,Erlebnis
der,Erfolg
die,Beschäftigung
das,Engagement
der,Anteil
die,Maßnahme
das,Problem
der,Versuch
die,Erklärung
das,Wort
der,Blick
die,Bedeutung
das,Urteil
der,Vorteil
die,Diskussion
das,Vorhaben
